# minimum track hours: 48
# region_start: NH; lon 0--360, lat 0--90; region_end: NH; lon 0--360, lat 0--90
# total no. of tracks: 16530
Trk: 23
	np: 9
	4 190.387481689 13.038734436 -698.674072266 99882.7734375
	5 189.632583618 13.4609451294 -861.730224609 99636.2734375
	6 189.632583618 13.4609527588 -920.27911377 99574.21875
	7 189.407958984 15.7950363159 -983.29107666 99529.5546875
	8 189.407958984 15.7950363159 -1193.87060547 98996.03125
	9 189.416519165 17.7820892334 -1081.30163574 99391.1328125
	10 190.593811035 18.2739486694 -1445.2902832 98720.1328125
	11 190.358688354 20.6314926147 -1582.55065918 98590.265625
	12 190.96836853 21.8639755249 -1444.7902832 98749.9140625
	13 192.622131348 23.7719421387 -1518.74731445 98764.28125
	14 192.857192993 25.5192871094 -1444.16796875 98792.78125
	15 193.400497437 27.9032249451 -1377.71875 98930.9453125
	16 192.408218384 30.0605888367 -1341.6517334 98799.453125
	17 191.947967529 30.5636711121 -1142.30554199 99240.8515625
	18 191.491226196 31.056224823 -1093.04443359 99208.3125
	19 192.023620605 32.0861434937 -961.670349121 99365.03125
	20 192.764526367 32.0949478149 -737.177307129 99690.109375
	21 193.645858765 33.6125602722 -758.711120605 99798.0390625
	22 195.732559204 37.2206459045 -794.097839355 99927.203125
	23 197.137023926 37.8174324036 -702.622253418 100180.007812
	24 199.914855957 40.6429290771 -746.839904785 100312.117188
	25 202.671432495 42.9396972656 -711.617614746 100642.367188
	26 205.23739624 46.9235534668 -566.836425781 100904.453125
	27 209.436218262 48.7577400208 -418.674377441 101175.773438
Trk: 137
	np: 15
	4 248.272750854 10.8986053467 -522.925048828 100252.234375
	5 247.198120117 10.7590866089 -683.059814453 100209.3125
	6 246.809570312 10.2954330444 -760.101379395 99933.265625
	7 244.975280762 11.3072280884 -889.861816406 99884.703125
	8 244.975280762 11.3072280884 -919.178833008 99559.6640625
	9 243.703918457 12.1779937744 -1021.19250488 99593.5078125
	10 243.54045105 12.8091430664 -1111.88708496 99183.53125
	11 242.29989624 13.0573959351 -1214.36694336 99139.5625
	12 242.067367554 13.6935195923 -1093.99304199 99127.859375
	13 241.85345459 14.2755279541 -1134.12390137 99305.453125
	14 240.486099243 14.5024642944 -1200.10913086 98956.390625
	15 240.242126465 15.179145813 -1244.57495117 99103.3828125
	16 240.032943726 15.7556991577 -1184.55871582 98926.0859375
	17 238.657623291 16.0091781616 -1268.01696777 99061.53125
	18 238.657623291 16.0091781616 -1279.25830078 98854.3125
Trk: 150
	np: 25
	4 174.224441528 66.6665649414 -427.288330078 99364.5546875
	5 172.672241211 70.2541046143 -511.935791016 99232.3984375
	6 162.317337036 73.0658721924 -554.701049805 99210.625
	7 149.452056885 75.0492782593 -672.282287598 98980.3984375
	8 143.143234253 76.5161743164 -843.30682373 98863.015625
	9 133.056655884 78.3872909546 -902.464050293 98824.2734375
	10 127.4765625 79.7141113281 -956.383178711 98936.8984375
	11 121.373703003 79.8254013062 -949.259155273 98937.6484375
	12 111.769248962 80.8100357056 -932.945068359 99027.15625
	13 106.27646637 81.8027648926 -909.730224609 99068.4765625
	14 90.0 83.4703369141 -914.34387207 99144.7734375
	15 77.7950973511 84.6428375244 -975.597106934 99117.6171875
	16 60.4847412109 84.6453323364 -995.06451416 99119.203125
	17 45.398563385 84.1639709473 -1046.3972168 98930.03125
	18 39.2570724487 83.2215576172 -989.631530762 98777.90625
	19 19.2734260559 82.625541687 -1011.62872314 98673.1953125
	20 17.4968528748 80.9138183594 -959.385864258 98415.65625
	21 15.1981973648 80.0592422485 -885.149597168 98469.15625
	22 22.1346225739 78.6745834351 -771.16394043 98490.578125
	23 26.6735954285 78.9829330444 -755.651489258 98525.859375
	24 33.1967697144 79.0391540527 -780.892700195 98521.0859375
	25 33.3016929626 79.0700149536 -793.603637695 98496.234375
	26 35.5180549622 79.4746551514 -728.83380127 98540.9453125
	27 14.2124700546 85.1442489624 -555.035705566 99029.0234375
	28 30.9650001526 88.5779724121 -686.127685547 98858.359375
Trk: 164
	np: 14
	5 0.899908781052 60.7122650146 -997.904296875 99355.09375
	6 5.0214881897 60.9603118896 -1012.87634277 99285.890625
	7 12.545627594 58.0861968994 -1222.0826416 98938.09375
	8 17.8485221863 57.6420860291 -1276.71105957 99028.0234375
	9 19.3518123627 56.5113945007 -1234.9083252 99209.765625
	10 23.7219486237 56.1931877136 -988.159912109 99503.3125
	11 29.1852798462 56.9371643066 -892.260925293 99670.875
	12 32.1521949768 55.7419090271 -931.773132324 99665.21875
	13 35.9633827209 57.4163703918 -1125.80908203 98914.5546875
	14 42.5424118042 60.7076377869 -1121.73193359 98823.9921875
	15 44.6983337402 60.8260650635 -991.160949707 99006.1875
	16 46.8322906494 61.2440338135 -822.038452148 99307.1953125
	17 49.1409988403 61.861000061 -563.171691895 99697.9453125
